YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
450,1,26,0,0,0,1,1,0,7,TURKEY,0,MARMARA SEA,40.4,28.4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,9,25,0,0,0,3,1,0,0,TURKEY,0,MARMARA SEA,40.8,29.2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,3,1,0,6.8,TURKEY,0,BLACK SEA,40.3,27.8,50,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
551,4,0,0,0,0,4,3,0,7.1,GREECE,0,ETOLIA,38.4,22.3,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,4,0,0,0,0,0,0,0,0,0,0
551,7,7,0,0,0,1,0,0,0,GREECE,0,0,38.4,22.3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,4,0,0,0,0,0,4,0,4,0,0
551,7,9,0,0,0,4,1,0,7.8,TURKEY,0,LEVANTIAN SEA,40.8,29.9,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,5,0,0,0,0,3,1,0,7.2,GREECE,0,MALIAKOS GULF,38.4,22.4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,8,15,0,0,0,3,1,0,7,GREECE,0,ISLAND OF KOS,36.5,27.5,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,8,15,0,0,0,2,1,0,0,GREECE,0,THRACE,41,29.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,0,0,0,0,0,3,1,0,7,TURKEY,0,MARMARA SEA,40.9,27.6,50,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
